iter	Passed	Remaining
803	34567	8426
804	34607	8383
805	34647	8339
806	34688	8295
807	34731	8253
808	34771	8209
809	34812	8165
810	34854	8122
811	34909	8082
812	34956	8040
813	34996	7996
814	35036	7953
815	35074	7908
816	35119	7866
817	35161	7823
818	35202	7779
819	35243	7736
820	35284	7692
821	35325	7649
822	35368	7606
823	35409	7563
824	35449	7519
825	35490	7476
826	35531	7432
827	35655	7406
828	35706	7365
829	35756	7323
830	35811	7282
831	35852	7239
832	35902	7197
833	35943	7154
834	35983	7110
835	36022	7066
836	36061	7022
837	36105	6979
838	36147	6936
839	36190	6893
840	36231	6849
841	36272	6806
842	36312	6762
843	36354	6719
844	36396	6676
845	36435	6632
846	36475	6588
847	36516	6545
848	36559	6502
849	36601	6459
850	36640	6415
851	36682	6372
852	36723	6328
853	36762	6285
854	36803	6241
855	36844	6198
856	36885	6154
857	36927	6111
858	36968	6068
859	37008	6024
860	37049	5981
861	37092	5938
862	37134	5895
863	37174	5851
864	37217	5808
865	37256	5764
866	37299	5721
867	37338	5678
868	37379	5634
869	37423	5592
870	37467	5549
871	37508	5505
872	37547	5462
873	37587	5418
874	37628	5375
875	37669	5332
876	37712	5289
877	37751	5245
878	37793	5202
879	37849	5161
880	37890	5118
881	37947	5076
882	38000	5035
883	38040	4991
884	38080	4948
885	38127	4905
886	38167	4862
887	38210	4819
888	38252	4776
889	38291	4732
890	38332	4689
891	38402	4649
892	38443	4606
893	38488	4563
894	38532	4520
895	38574	4477
896	38615	4434
897	38655	4390
898	38710	4349
899	38753	4305
900	38795	4262
901	38836	4219
902	38877	4176
903	38930	4134
904	38975	4091
905	39016	4048
906	39062	4005
907	39102	3961
908	39143	3918
909	39184	3875
910	39226	3832
911	39280	3790
912	39319	3746
913	39361	3703
914	39399	3660
915	39441	3616
916	39484	3573
917	39525	3530
918	39565	3487
919	39607	3444
920	39648	3400
921	39704	3358
922	39744	3315
923	39787	3272
924	39826	3229
925	39884	3187
926	39924	3143
927	39965	3100
928	40006	3057
929	40045	3014
930	40084	2970
931	40135	2928
932	40196	2886
933	40239	2843
934	40280	2800
935	40320	2756
936	40367	2714
937	40406	2670
938	40447	2627
939	40485	2584
940	40524	2540
941	40564	2497
942	40608	2454
943	40648	2411
944	40688	2368
945	40728	2324
946	40768	2281
947	40812	2238
948	40855	2195
949	40895	2152
950	40935	2109
951	40974	2065
952	41012	2022
953	41078	1980
954	41125	1937
955	41166	1894
956	41206	1851
957	41245	1808
958	41287	1765
959	41330	1722
960	41370	1678
961	41410	1635
962	41449	1592
963	41492	1549
964	41531	1506
965	41577	1463
966	41617	1420
967	41661	1377
968	41702	1334
969	41744	1291
970	41784	1247
971	41831	1205
972	41871	1161
973	41911	1118
974	41953	1075
975	41994	1032
976	42039	989
977	42080	946
978	42121	903
979	42160	860
980	42201	817
981	42240	774
982	42282	731
983	42326	688
984	42386	645
985	42427	602
986	42468	559
987	42512	516
988	42556	473
989	42597	430
990	42636	387
991	42677	344
992	42717	301
993	42761	258
994	42802	215
995	42844	172
996	42884	129
997	42922	86
998	42967	43
999	43008	0
